#
# Pfarrerbuch Hungarian language translation
# Encoding:  UTF-8
# Separator: ;
#

# Allgemein
new;új
edit;szerkesztés
backend;admin-nézet
language;nyelv

# Personenansicht
father;apa
mother;anya
babtism;keresztelő
funeral;temetés
education;tanulmányok
ordination;ordináció
retirement;nyugdíjazás
children;gyerekek
comments;megjegyzések
editor_comments;"szerkesztési megjegyzések"
sources_literature;"források és irodalom"

# Suchansicht
search_title;keresés
search_search;keres
search_person;személy
search_place;hely
search_explanation;"Válassza ki a keresési típust és adja meg a keresési kifejezést a szomszédos mezőben!"
search_search_for;"ezt keresi:"

# Ortsansicht
place_list_positions;"lelkészi állások listája"
place_no_map_notice;"Ehhez a helyhez nem tartozik térkép."
place_list_schools;"iskolák és egyetemek listája"

# Stellenansicht
position_list_pastors;"ezen állást betöltő lelkészek listája"

# Schule
school_list_teacher;"Liste der Personen, die an dieser Universität/Schule gelehrt haben"
school_list_pupil;"Liste der Personen, die an dieser Universität/Schule gelernt haben"
