#
# Pfarrerbuch German language translation
# Encoding:  UTF-8
# Separator: ;
#

# Allgemein
new;neu
edit;bearbeiten
backend;Admin-Ansicht
language;Sprache

# Personenansicht
father;Vater
mother;Mutter
babtism;Taufe
funeral;Beerdigung
education;Bildungsweg
ordination;Ordination
retirement;Emeriterung
children;Kinder
comments;Bemerkungen
editor_comments;"Bearbeitungs Bemerkungen"
sources_literature;"Quellen und Literatur"

# Suchansicht
search_title;Suche
search_search;suchen
search_person;Person
search_place;Ort
search_explanation;"Bitte wählen Sie die Art der Suche aus und geben Sie ihren Suchtext in das nebenstehende Feld ein."
search_search_for;"Suche nach „%s“"

# Ortsansicht
place_list_positions;"Liste der Pfarrstellen"
place_no_map_notice;"Es wurden keine Kartendaten für diesen Ort hinterlegt"
place_list_schools;"Liste der Schulen und Universitäten"

# Stellenansicht
position_list_pastors;"Liste der Pfarrer, die diese Stelle inne hatten"
